"codigo","color_por_confirmar","color_final","referencias"
"7E5","","","MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL LAPIZ | MOCHILAS::MORRAL GOMMAS | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::ESCUADRA | CARTUCHERAS Y LONCHERAS::PORTAMINAS | MOCHILA  - RUEDAS::MORRAL BOMPER RENGLONES | MOCHILA  - RUEDAS::MORRAL BOMPER RESMA A4"
"7E9","","","MOCHILAS::MORRAL TOCAX | CARTUCHERAS Y LONCHERAS::MULTIUSOS KIJAL"
"7EF","","","MOCHILAS::MORRAL TOQUITO"
"7EO","","","MOCHILAS::MORRAL PC CERASTIO DISENO | MOCHILAS::MORRAL MIRAG L | MOCHILAS::MORRAL MIRAG M | MOCHILAS::MORRAL MIRAGE L | CARTUCHERAS Y LONCHERAS::MIRAGE | MULTIUSOS::MIRAGE 2 | MOCHILA  - RUEDAS::MORRAL BOMPER MIRAGEL"
"7EV","","","MOCHILAS::MORRAL TOCAX | MOCHILAS::MORRAL TOQUITO | MULTIUSOS::VIAJERO BIRUNGA | MULTIUSOS::VIAJERO BIRUNGA GUAQUI | MULTIUSOS::GUAQUI"
"7EX","","","CARTUCHERAS Y LONCHERAS::EREZO"
"7G7","","","MULTIUSOS::ASTRAL"
"7GA","","","MOCHILAS::FOLDER LEGAJADOR TRAPPYCOS"
"7GF","","","MOCHILAS::FOLDER LEGAJADOR TRAPPYCOS | MOCHILA  - RUEDAS::MORRAL RUE REGLA"
"7GG","","","LONCHERAS::NOTEBOOK | MOCHILAS::MORRAL TIJERAS | MOCHILAS::FOLDER LEGAJADOR TRAPPYCOS | MOCHILAS::MORRAL LAPIZ | CARTUCHERAS Y LONCHERAS::ESCUADRA"
"7GS","","","MOCHILAS::MORRAL ACUARELA"
"7L0","","","MOCHILAS::MORRAL TOCAX"
"7L6","","","MOCHILAS::MORRAL RAYOL"
"7LD","","","MOCHILAS::MORRAL NAMER | MOCHILAS::SHOPPING CHATALLI | CARTUCHERAS Y LONCHERAS::LAUS | CARTUCHERAS Y LONCHERAS::KIRIBY"
"7LF","","","MOCHILAS::MORRAL NAMER | MOCHILAS::MORRAL ANTIQUE | MOCHILAS::MORRAL NAMMER | CARTUCHERAS Y LONCHERAS::LAUS | CARTUCHERAS Y LONCHERAS::KIRIBY"
"7LG","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL ACUARELA | CARTUCHERAS Y LONCHERAS::PIZARRA"
"7LK","","","MOCHILAS::MORRAL TOCAX"
"7LO","","","MOCHILAS::MORRAL TOCAX"
"7LR","","","LONCHERAS::BORRADOR"
"7LW","","","MOCHILAS::MORRAL PC GOCTAL | CARTUCHERAS Y LONCHERAS::EREZO"
"7LX","","","MOCHILAS::MORRAL BADRANY"
"7MG","","","CARTUCHERAS Y LONCHERAS::LAUS"
"7MJ","","","LONCHERAS::BORRADOR | CARTUCHERAS Y LONCHERAS::ESCUADRA | CARTUCHERAS Y LONCHERAS::TAJALAPIZ | CARTUCHERAS Y LONCHERAS::PORTAMINAS | MOCHILA  - RUEDAS::MORRAL RUE BOMPER RENGLON"
"7MK","","","LONCHERAS::NOTEBOOK | MOCHILA  - RUEDAS::MORRAL BOMPER RENGLON | MOCHILA  - RUEDAS::MORRAL RUE BOMPER RENGLON"
"7ML","","","LONCHERAS::NOTEBOOK | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::TAJALAPIZ"
"7MN","","","LONCHERAS::BORRADOR | LONCHERAS::RESALTADOR | CARTUCHERAS Y LONCHERAS::SOBRE | MOCHILA  - RUEDAS::MORRAL BOMPER RENGLON"
"7MX","","","CARTUCHERAS Y LONCHERAS::STICUTE | MULTIUSOS::SHOPPING STICUTE"
"7MZ","","","LONCHERAS::PATCHLY | MOCHILAS::MORRAL PATCHLY L | MOCHILAS::MORRAL PATCHLY S | MOCHILAS::MORRAL PATACHLY L | MOCHILA  - RUEDAS::PATCHLY"
"7T5","","","MOCHILAS::MORRAL VIRGIL | CARTUCHERAS Y LONCHERAS::PIDAL | CARTUCHERAS Y LONCHERAS::BELMA | MULTIUSOS::MULTIUSO BELMA"
"7V9","","","LONCHERAS::PIZARRA | LONCHERAS::NOTEBOOK | MOCHILAS::MORRAL LAPIZ | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL TABLET Y PC CARTULINA | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL ACURELA | CARTUCHERAS Y LONCHERAS::PIZARRA"
"7VA","","","LONCHERAS::PIZARRA | MOCHILAS::MORRAL LAPICERO | CARTUCHERAS Y LONCHERAS::ESCUADRA | MOCHILA  - RUEDAS::MORRAL RUE BOMPER RENGLON"
"7VB","","","MOCHILAS::MORRAL TIJERAS"
"7VI","","","MOCHILAS::MORRAL TIJERAS | MOCHILAS::MORRAL LAPICERO | MOCHILAS::MORRAL ACUARELA | MOCHILA  - RUEDAS::MORRAL RUE REGLA"
"7VJ","","","MOCHILAS::FOLDER LEGAJADOR TRAPPYCOS | MOCHILA  - RUEDAS::MORRAL RUE REGLA"
"7VK","","","MOCHILAS::MORRAL PC CARTULINA | MOCHILAS::MORRAL TIJERAS | MOCHILAS::MORRAL P TABLET Y PC CARTULINA | MOCHILAS::MORRAL LAPICERO | MOCHILAS::MORRAL ACUARELA | CARTUCHERAS Y LONCHERAS::PIZARRA"
"7Y","","","DAMAS::BUZO NINA NANAE"
"86E","","","LONCHERAS::BORRADOR"
"86T","","","LONCHERAS::RESALTADOR"
"8BF","","","MOCHILA  - RUEDAS::BOMPER CIELA"
"8E0","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL LAPIZ | CARTUCHERAS Y LONCHERAS::SOBRE"
"8E2","","","LONCHERAS::PIZARRA | LONCHERAS::BORRADOR | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL ACUARELA | CARTUCHERAS Y LONCHERAS::PIZARRA"
"8E3","","","DAMAS::CHAQUETA QUESTA"
"8E4","","","LONCHERAS::PIZARRA | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL"
"8E5","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL"
"8E6","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::RESALTADO"
"8EE","","","DAMAS::CHOMPA BUZO MAZAMITA"
"8EO","","","MOCHILAS::MORRAL RAYOL"
"8EP","","","MOCHILAS::MORRAL LAPIZ"
"8EU","","","MOCHILAS::MORRAL RAYOL"
"8G0","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL ACUARELA | CARTUCHERAS Y LONCHERAS::SOBRE"
"8G1","","","MULTIUSOS::BOLSO LUCERITO"
"8G2","","","MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL ACUARELA | MOCHILA  - RUEDAS::MORRAL RUE RENGLON"
"8G7","","","LONCHERAS::RESALTADOR | MOCHILAS::MORRAL GOMMAS"
"8GK","","","MOCHILAS::MORRAL GRUPY | MOCHILAS::MORRAL JAIDENY"
"8GM","","","MOCHILAS::MORRAL GOMMAS | MOCHILA  - RUEDAS::MORRAL RUE VARAL"
"8GN","","","LONCHERAS::PIZARRA | LONCHERAS::RESALTADOR | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL LAPIZ | MOCHILAS::MORRAL GOMMAS | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::ESCUADRA"
"8GO","","","MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL GOMMAS | MOCHILAS::MORRAL LAPIZ | CARTUCHERAS Y LONCHERAS::PORTAMINAS | CARTUCHERAS Y LONCHERAS::PLASTILINA | MOCHILA  - RUEDAS::MORRAL BOMPER RENGLON"
"8GP","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL ACUARELA"
"8GS","","","MOCHILAS::MORRAL TOCAX | CARTUCHERAS Y LONCHERAS::MULTIUSOS KIJAL"
"8GT","","","LONCHERAS::BORRADOR | CARTUCHERAS Y LONCHERAS::ESCUADRA | CARTUCHERAS Y LONCHERAS::PORTAMINAS | CARTUCHERAS Y LONCHERAS::RESALTADO | CARTUCHERAS Y LONCHERAS::MULTIUSO PORTAMINAS | MOCHILA  - RUEDAS::MORRAL RUE VARAL | MOCHILA  - RUEDAS::MORRAL RUE RENGLON"
"8IR","","","MOCHILAS::MORRAL TEMPERA"
"8L0","","","LONCHERAS::BORRADOR"
"8L1","","","MOCHILAS::MORRAL LAPIZ"
"8L2","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL"
"8L3","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL LAPIZ"
"8L9","","","LONCHERAS::PIZARRA | LONCHERAS::RESALTADOR | LONCHERAS::BORRADOR"
"8LC","","","MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::SOBRE"
"8LO","","","CABALLEROS::CHAQUETA EXPEDIT"
"8LT","","","MOCHILAS::MORRAL GURPILA | MOCHILAS::MORRAL FELGE"
"8LU","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL LAPIZ | CARTUCHERAS Y LONCHERAS::AGAPEC"
"8LV","","","MOCHILAS::MORRAL OMETTO | CARTUCHERAS Y LONCHERAS::GALVITTO"
"8M1","","","MOCHILA  - RUEDAS::MORRAL RUE KATO | MOCHILA  - RUEDAS::MORRAL RUE BRINA 7704875897521"
"8M2","","","MOCHILAS::MORRAL PC KRIMMLER | CARTUCHERAS Y LONCHERAS::SOBRE"
"8M9","","","CARTUCHERAS Y LONCHERAS::KIJAL"
"8MA","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL GOMMAS | CARTUCHERAS Y LONCHERAS::PORTAMINAS | CARTUCHERAS Y LONCHERAS::TAJALAPIZ | CARTUCHERAS Y LONCHERAS::PIZARRA"
"8MB","","","MOCHILAS::MORRAL GOMMAS | CARTUCHERAS Y LONCHERAS::PORTAMINAS | CARTUCHERAS Y LONCHERAS::MULTIUSO PORTAMINAS"
"8ME","","","LONCHERAS::FELIZA"
"8MI","","","MOCHILAS::MORRAL SOKIRU"
"8TN","","","CARTUCHERAS Y LONCHERAS::LAUS"
"8TS","","","LONCHERAS::RESALTADOR | LONCHERAS::NOTEBOOK"
"8UN","","","MOCHILA  - RUEDAS::MORRAL RUE BOMPER RENGLON"
"8UR","","","CARTUCHERAS Y LONCHERAS::SOBRE"
"8V9","","","LONCHERAS::NOTEBOOK | LONCHERAS::PIZARRA | MOCHILAS::MORRAL LAPIZ | CARTUCHERAS Y LONCHERAS::PIZARRA"
"8VB","","","MOCHILAS::MORRAL NELE"
"8VG","","","LONCHERAS::PIZARRA | MOCHILAS::MORRAL LAPIZ S E CEBRA RAYAS VERDE AGUA | MOCHILAS::MORRAL ACUARELA"
"8VH","","","CARTUCHERAS Y LONCHERAS::SOBRE"
"8VI","","","MOCHILA  - RUEDAS::MORRAL RUE BOMPER CIELA"
"9B0","","","MOCHILAS::MORRAL CRAYOLA"
"9B4","","","LONCHERAS::PIZARRA"
"9G7","","","MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL"
"9G8","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL"
"9GA","","","DAMAS::CHAQUETA HABANERA | CABALLEROS::CHAQUETA DEGALLY"
"9L9","","","MOCHILAS::MORRAL MOTTO CROSS T M | MOCHILAS::MORRAL MOTTO CROSS T L | MOCHILAS::MORRAL MOTO CROSS L | MOCHILA  - RUEDAS::MORRAL BOMPER MOTTO CROSS M | MOCHILA  - RUEDAS::MORRAL BOMPER MOTTO CROSS L"
"9LC","","","MOCHILAS::MORRAL TUNING CAR T L | MOCHILAS::MORRAL TUNING CAR T M | MOCHILA  - RUEDAS::MORRAL BOMPER TUNING CAR L"
"9LE","","","CARTUCHERAS Y LONCHERAS::AGAPEC"
"9LF","","","MOCHILAS::MORRAL SUPER SOCCER T S | MOCHILAS::MORRAL SUPER SOCCER T M | MOCHILAS::MORRAL SUPER SOCCER S | MOCHILAS::MORRAL SUPER SOCCER M | CARTUCHERAS Y LONCHERAS::SOCCER | MOCHILA  - RUEDAS::MORRAL SUPER SOCCER | MOCHILA  - RUEDAS::MORRAL RUE BOMPER SUPER SOCCER M"
"9LJ","","","LONCHERAS::RESALTADOR | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::ESCUADRA | CARTUCHERAS Y LONCHERAS::PORTAMINAS | MALETAS::MALETA PEGASES | MOCHILA  - RUEDAS::MORRAL RUE VARAL"
"9LL","","","CARTUCHERAS Y LONCHERAS::EREZO"
"9LW","","","MOCHILAS::MORRAL TOCAX"
"9P1","","","CARTUCHERAS Y LONCHERAS::ESCUADRA"
"9PD","","","MOCHILAS::MORRAL JAIDENY"
"9T4","","","MOCHILAS::MORRAL TOCAX"
"9TD","","","MOCHILAS::MORRAL YEREM | MOCHILAS::MORRAL JAIDENY CELESTE | CARTUCHERAS Y LONCHERAS::GRUPY"
"9TF","","","MOCHILAS::MORRAL TOQUITO | MOCHILAS::MORRAL TOCAX"
"9TG","","","MOCHILAS::MORRAL GOCTAL | MOCHILAS::MORRAL PC CRIMMLER | MOCHILAS::MORRAL KRIMMBLER"
"9TJ","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::PIZARRA"
"9UY","","","MOCHILAS::MORRAL TOCAX"
"9V","","","MOCHILAS::MORRAL ACUARELA"
"9V4","","","MOCHILAS::MORRAL TOQUITO"
"9V9","","","MOCHILAS::MOCHILA TOCAX"
"9VB","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL LAPIZ | MOCHILAS::MORRAL GOMMAS | CARTUCHERAS Y LONCHERAS::RESALTADO | CARTUCHERAS Y LONCHERAS::MARANON | MOCHILA  - RUEDAS::MORRAL RUE BOMPER RENGLON"
"9VF","","","MOCHILAS::MORRAL TOCAX"
"9VJ","","","LONCHERAS::PIZARRA | LONCHERAS::RESALTADOR | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL LAPIZ | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::PORTAMINAS | CARTUCHERAS Y LONCHERAS::TAJALAPIZ | CARTUCHERAS Y LONCHERAS::PIZARRA"
"9VM","","","MOCHILAS::MORRAL LOVELY KACTUS M | MOCHILAS::MORRAL LOVELY KACTUS L"
"9VN","","","MOCHILAS::MORRAL LOVELY KACTUS M"
"9VO","","","MOCHILAS::MORRAL YEREM"
"9VX","","","MOCHILAS::MORRAL NAMER | MOCHILAS::MORRAL NAMMER | CARTUCHERAS Y LONCHERAS::KIRIBY"
"9VY","","","MOCHILAS::MORRAL TOCAX"
"AZUL","Arena","","MOCHILAS::MALETIN G Y M | MULTIUSOS::INDIVIDUAL | HP - POLERA::16 | HP - POLERA::22 | HP - POLERA::24"
"B02","Beige / Arena","","DAMAS::CHAQUETA TUINALLY | DAMAS::CHAQUETA SUJUR"
"B17","Beige / Arena","","DAMAS::CHAQUETA CARILDA | DAMAS::BUZO GUAJILLO | DAMAS::BUZO MORELIA | DAMAS::CASACA KILLEN | DAMAS::CHAQUETA YECORA | DAMAS::CHAQUETA WORKYM"
"B36","Beige / Arena","","MOCHILAS::MORRAL ULURU | CARTUCHERAS Y LONCHERAS::EFESO"
"BMB","Beige / Arena","","MOCHILA  - RUEDAS::MORRAL P TABLET Y PC CARTA"
"FA","","","DAMAS::CHAQUETA WORKYM"
"G03","Gris","","DAMAS::CHAQUETA MAESTRIA"
"G04","Gris","","DAMAS::CHAQUETA BAROYECA | CABALLEROS::CHAQUETA ROYELF"
"G15","Gris","","DAMAS::CHAQUETA MALEN"
"G17","Gris","","DAMAS::CHAQUETA ACRONY | DAMAS::CHAQUETA TRINITARIA | DAMAS::CHALECO MEGGY | MULTIUSOS::COOPPY | MULTIUSOS::AKOKI | MULTIUSOS::ESPONGY | MULTIUSOS::BOLSO PAITA | MULTIUSOS::MULTIUSO SARANDI"
"G18","Gris","","MOCHILAS::MORRAL RUBURAI T S | MOCHILAS::MORRAL ROBURAI T M | MOCHILAS::MORRAL ROBURAI S | MOCHILAS::MORRAL ROBURAI M | MOCHILA  - RUEDAS::MORRAL BOMPER RABURAL"
"G1N","Gris","","CABALLEROS::CHAQUETA HILLSBORO | LONCHERAS::DERVY | LONCHERAS::AUBURN | MOCHILAS::MORRAL MONTERO | MOCHILAS::MORRAL ALCOR | MOCHILAS::MORRAL MECANIL | MOCHILAS::MORRAL REFLEXTY | MOCHILAS::MORRAL P TABLET Y PC KIOGA"
"G29","Gris","","DAMAS::CHAQUETA ACRONY | DAMAS::CHALECO JUCALY | CABALLEROS::CHAQUETA MAZUNTE | CABALLEROS::CHAQUETA COLORMEN | CABALLEROS::CHAQUETA HILLSBORO"
"G48","Gris","","MOCHILAS::MORRAL P TABLET Y PC DILEK | MALETAS::MALETA HAWLKER"
"G68","Gris","","MOCHILAS::MORRAL TOCAX | MOCHILAS::MORRAL SANTAY | MOCHILAS::MORRAL PC DELEG | MOCHILAS::MORRAL TOQUITO"
"G86","Gris","","DAMAS::CHAQUETA CARILDA | CABALLEROS::CHAQUETA COLORMEN | CABALLEROS::CHAQUETA CEDRAL | MOCHILAS::MORRAL DYNAMIC | MULTIUSOS::BILLETERA RIGIL"
"G95","Gris","","DAMAS::CHALECO KUNST"
"G98","Gris","","CARTUCHERAS Y LONCHERAS::QUEBEC"
"G9A","Gris","","DAMAS::CHAQUETA HABANERA"
"GIN","Gris","","MOCHILAS::MORRAL PC PENICHE | MOCHILAS::MORRAL MONTERO"
"GLN","Gris","","MOCHILA  - RUEDAS::MORRAL BOMPER RENGLON"
"GLS","Gris","","LONCHERAS::NOTEBOOK"
"GM0","Gris","","MOCHI- VIAJERO::NANDA 50LT"
"GO0","Gris","","CARTUCHERAS Y LONCHERAS::NEUQUEN | MOCHI- VIAJERO::PILAR 80LT"
"GP0","Gris","","MOCHILAS::MORRAL AFIDO"
"GRIS","Gris","","HP - CASACAS::CASACA"
"GZ0","Gris","","MOCHILAS::MORRAL AFIDO | CARTUCHERAS Y LONCHERAS::NEUQUEN | MOCHI- VIAJERO::TACANA 45LT | MOCHI- VIAJERO::KIRAT 80LT | MOCHI- VIAJERO::NANDA 50LT | MOCHI- VIAJERO::TERAM AGUA"
"HSH","","","MOCHILAS::MORRAL LAPIZ"
"IVJ","","","LONCHERAS::PIZARRA"
"LXL","","","DAMAS::CHAQUETA COLORFULL"
"M04","Marrón","","DAMAS::CHAQUETA SUJUR"
"M0N","Marrón","","DAMAS::CHALECO CRACA | MALETAS::MALETA SABRE"
"M10","Marrón","","DAMAS::CHAQUETA WORKYM | DAMAS::CHALECO MEGGY | DAMAS::BUZO TEXCOCO"
"M16","Marrón","","DAMAS::CHAQUETA CARILDA | DAMAS::BUZO MORELIA | DAMAS::CHAQUETA TRINITARIA | DAMAS::CHAQUETA TAPALPA"
"M17","Marrón","","DAMAS::CHAQUETA TAPALPA"
"M1O","Marrón","","DAMAS::BUZO TEXCOCO | MOCHILAS::MORRAL CICINDELA | MOCHILAS::MORRAL CICIDELA | MULTIUSOS::ANTALYA | MULTIUSOS::SARANDY"
"M2F","Marrón","","DAMAS::CHAQUETA SURUI | LONCHERAS::PIZARRA | LONCHERAS::NOTEBOOK | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL WEEKLY | MOCHILAS::MORRAL TALIM | MOCHILAS::MORRAL CALT"
"M2P","Marrón","","CARTUCHERAS Y LONCHERAS::COLEGY"
"M62","Marrón","","MOCHILAS::MORRAL TOCAX | MOCHILAS::MORRAL OMETTO | MOCHILAS::MORRAL GAMMATTO | MOCHILAS::MORRAL OMETO | MALETAS::MALETA 360 TRAVEL LITES | MALETAS::MALETA TRAVEL LITE M"
"M86","Marrón","","MOCHILA  - RUEDAS::MORRAL RUE BOMPER YEL"
"M87","Marrón","","MALETAS::MALETA OSPREY | MALETAS::MALETA HORNET"
"M8G","Marrón","","MOCHILA  - RUEDAS::MORRAL RUE BOMPER"
"MG2","Marrón","","CARTUCHERAS Y LONCHERAS::GALVITTO"
"MON","Marrón","","MALETAS::MALETA BELL"
"N01","Negro","","DAMAS::CHAQUETA WORKYM | DAMAS::CHAQUETA REFLEXTIVE WOMAN | DAMAS::CHAQUETA RIFU M | DAMAS::BUZO GUAJILLO | DAMAS::CHAQUETA BAYMENA | DAMAS::CHAQUETA COLORFULL | DAMAS::CHAQUETA SUJUR | DAMAS::CHAQUETA YECORA"
"NG0","Negro","","MOCHILAS::MORRAL PC TABLET BAURES | MOCHILAS::MORRAL COLBERT | MOCHILAS::MORRAL P TABLET Y PC BAURES | CARTUCHERAS Y LONCHERAS::NEUQUEN | MOCHI- VIAJERO::TACANA 45LT | MOCHI- VIAJERO::KIRAT 80LT | MOCHI- VIAJERO::BRUM 60LT | MOCHI- VIAJERO::KAMET"
"NGR","Negro","","MALETAS::MALETA BOROZ"
"NNG","Negro","","MOCHILAS::MORRAL PC KRIPTON | MOCHILA  - RUEDAS::MORRAL RUE BOROZ"
"NO0","Negro","","LONCHERAS::NIRIEL | CARTUCHERAS Y LONCHERAS::NIRIEL"
"NR0","Negro","","MOCHI- VIAJERO::TACANA 45LT"
"NT0","Negro","","MOCHILAS::MORRAL PC ARAUJO | MOCHILAS::MORRAL PC PICTOR | MOCHILAS::MORRAL PICTOR | MOCHILAS::MORRAL PICTOR PC S E"
"NV0","Negro","","MULTIUSOS::NIRIEL"
"NZ0","Negro","","MOCHILAS::MORRAL PC TABLET BAURES | MOCHILAS::MORRAL P TABLET Y PC BAURES | MOCHILAS::MORRAL PC ARAUJO"
"NZA","Negro","","MOCHILAS::MOCHILA RUREKIN"
"NZM","Negro","","MOCHILAS::MORRAL SUREKIN"
"NZT","Negro","","MOCHILAS::MORRAL PC KRIPTON | MOCHILAS::MORRAL HIERRY"
"O19","","","DAMAS::CHAQUETA COLORFULL"
"O52","","","MOCHILAS::MORRAL TOQUITO | MOCHILAS::MORRAL TOCAX | CARTUCHERAS Y LONCHERAS::FELINA | MULTIUSOS::FELINA"
"OD6","","","MOCHILAS::MORRAL ACUARELA"
"OI9","","","LONCHERAS::MILETO"
"OIU","","","MOCHILAS::MORRAL NAMMER"
"OLC","","","MOCHILAS::MORRAL ACUARELA"
"OLE","","","MOCHILAS::MORRAL ACUARELA"
"OLG","","","MOCHILAS::MORRAL BADRA"
"OLH","","","MOCHILAS::MORRAL GOMMAS | MOCHILAS::MORRAL LAPIZ"
"OLT","","","CARTUCHERAS Y LONCHERAS::ESCUADRA"
"P0E","Plomo / Perla","","MOCHILAS::MORRAL AKUARY | MOCHILAS::MORRAL DINAMIC | MULTIUSOS::ORECA"
"P10","Plomo / Perla","","CARTUCHERAS Y LONCHERAS::KIJAL"
"P15","Plomo / Perla","","LONCHERAS::BATARA"
"P1S","Plomo / Perla","","DAMAS::CHAQUETA COLORFULL | MULTIUSOS::MAIRANA | MULTIUSOS::TUPIZA"
"P1T","Plomo / Perla","","MULTIUSOS::IRATI | MULTIUSOS::PASALY"
"P25","Plomo / Perla","","MOCHILAS::MORRAL P TABLET Y PC FERNANDINA | CARTUCHERAS Y LONCHERAS::INBABURA | CARTUCHERAS Y LONCHERAS::KANNALY | MULTIUSOS::CONITOS | MULTIUSOS::DONUT | MULTIUSOS::FALDIN | MULTIUSOS::BOLSO CONITO | MULTIUSOS::IMBABURA"
"P71","Plomo / Perla","","CARTUCHERAS Y LONCHERAS::GALVITTO"
"P74","Plomo / Perla","","CARTUCHERAS Y LONCHERAS::KIRI"
"P75","Plomo / Perla","","LONCHERAS::SILOAM | LONCHERAS::SENSORY | MOCHILAS::MORRAL PRINSTON | MOCHILAS::MORRAL P TABLET Y PC STANDE | CARTUCHERAS Y LONCHERAS::AKONY | CARTUCHERAS Y LONCHERAS::SILOAM | MULTIUSOS::AKONY | MOCHILA  - RUEDAS::MORRAL BOMPER YEL"
"PF0","Plomo / Perla","","LONCHERAS::PIZARRA"
"PIS","Plomo / Perla","","MULTIUSOS::TACHES"
"PZ0","Plomo / Perla","","MOCHILAS::MORRAL URDANETA | MOCHILAS::MORRAL URDANETA ZM0"
"R15","Rojo","","LONCHERAS::BATARA | MOCHILAS::MORRAL PORTA TABLET TANZAN | MOCHILAS::MORRAL BRUNEUS | MOCHILAS::MORRAL P TABLET Y PC TRIBAL | MOCHILAS::MORRAL MORRA YIRO | CARTUCHERAS Y LONCHERAS::PIDAL"
"R40","Rojo","","CABALLEROS::CHAQUETA LIESA | CABALLEROS::CHALECO MALTE | MOCHILA  - RUEDAS::MORRAL BOMPER YEL"
"R44","Rojo","","DAMAS::CHAQUETA COLORFULL | MULTIUSOS::MALEBO S E"
"R46","Rojo","","MOCHILAS::MORRAL CAPRINJ"
"R57","Rojo","","CABALLEROS::CHAQUETA VERNOS | CABALLEROS::CHAQUETA COLORMEN"
"R72","Rojo","","CABALLEROS::CHAQUETA COLORMEN | MOCHILAS::MORRAL TOQUITO"
"R73","Rojo","","MOCHILAS::MORRAL TOCAX"
"R75","Rojo","","MULTIUSOS::KITSAP"
"R76","Rojo","","LONCHERAS::ESTORIL | CARTUCHERAS Y LONCHERAS::DIJON | CARTUCHERAS Y LONCHERAS::ESTORIL"
"RB0","Rojo","","MOCHILAS::MORRAL PC KIMEX PERU"
"RI0","Rojo","","MOCHILAS::MORRAL PIMEX PERU"
"RI3","Rojo","","MULTIUSOS::SHOPPING RAINBOWLY"
"RI5","Rojo","","MOCHILAS::MORRAL PC TRIBAL"
"RN0","Rojo","","MOCHI- VIAJERO::KIRAT 80LT | MOCHI- VIAJERO::BRUM 60LT | MOCHI- VIAJERO::NANDA 50LT | MOCHI- VIAJERO::KAMET | MOCHI- VIAJERO::TERAM AGUA"
"ROSA","Rojo","","MOCHILAS::MORRAL ACUARELA CACTUS | MALETAS::MALETA LACERTA L"
"SC","","","MOCHILAS::MORRAL HIERRY"
"SE","","","LONCHERAS::PIZARRA | LONCHERAS::LONCHERA DE MOCHILA RUE | LONCHERAS::NOTEBOOK FLORES | LONCHERAS::CAR MALOGRADO 3D | LONCHERAS::LONCHERA GRIS | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL PELOTA ROJO | MOCHILAS::MORRAL JAIDENY CELESTE"
"T01","Terracota / Camello","","CABALLEROS::CHAQUETA ARWIN | CARTUCHERAS Y LONCHERAS::LUCANUS | MULTIUSOS::IRATI"
"T03","Terracota / Camello","","DAMAS::CHAQUETA TUINALLY | DAMAS::CHAQUETA COLORFULL | CABALLEROS::CHAQUETA COLORMEN"
"T0W","Terracota / Camello","","DAMAS::CHAQUETA YECORA"
"T0X","Terracota / Camello","","DAMAS::CHAQUETA WORKYM"
"T1F","Terracota / Camello","","CABALLEROS::CHAQUETA TEKAM"
